                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.96862,                0.57525,                0.78572,                0.98781,                      1,                  0.995,                0.62069,                 1.2695,                0.62063,                 0.8684,             0.00012728,             0.00012728,             0.00012728
                     76,                0.81225,                0.54813,                0.84305,                0.98794,                      1,                  0.995,                0.65803,                 1.2129,                0.61102,                0.86816,             0.00012257,             0.00012257,             0.00012257
                     77,                0.96205,                0.53789,                0.82961,                0.98807,                      1,                  0.995,                  0.607,                 1.3203,                0.60605,                0.86423,             0.00011786,             0.00011786,             0.00011786
                     78,                 0.9075,                0.51389,                0.80099,                0.98779,                      1,                  0.995,                0.62124,                 1.2907,                0.63685,                0.85843,             0.00011315,             0.00011315,             0.00011315
                     79,                0.93673,                0.52309,                0.78886,                0.98705,                      1,                  0.995,                 0.6637,                 1.2775,                0.63357,                0.85836,             0.00010843,             0.00010843,             0.00010843
                     80,                 0.8734,                0.51828,                0.77548,                0.98456,                      1,                  0.995,                0.65658,                 1.2715,                0.66706,                0.86365,             0.00010372,             0.00010372,             0.00010372
                     81,                0.83636,                0.49975,                0.82007,                0.98475,                      1,                  0.995,                0.64474,                 1.2473,                0.68129,                0.86497,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     82,                0.85373,                0.46977,                0.80046,                0.98517,                      1,                  0.995,                0.63338,                  1.351,                0.69769,                0.86775,             9.4296e-05,             9.4296e-05,             9.4296e-05
                     83,                0.91369,                 0.5147,                0.84894,                0.98717,                      1,                  0.995,                0.62119,                 1.3643,                0.67432,                0.87885,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     84,                0.93231,                0.51955,                0.85927,                0.98871,                      1,                  0.995,                0.59471,                 1.3894,                0.67909,                0.87312,             8.4871e-05,             8.4871e-05,             8.4871e-05
                     85,                0.78842,                0.50553,                0.81781,                  0.989,                      1,                  0.995,                0.59029,                 1.4025,                   0.65,                0.87406,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     86,                0.76596,                 0.4766,                0.79688,                0.98754,                      1,                  0.995,                0.59729,                 1.3731,                0.62055,                0.86867,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     87,                0.99273,                0.52971,                0.87542,                 0.9883,                      1,                  0.995,                0.58902,                 1.3911,                0.61398,                0.86566,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     88,                0.85393,                0.46824,                0.77933,                0.98761,                      1,                  0.995,                0.65258,                 1.3221,                0.62181,                 0.8603,             6.6021e-05,             6.6021e-05,             6.6021e-05
                     89,                  0.865,                0.47125,                0.77822,                0.97729,                      1,                  0.995,                0.63356,                 1.3209,                0.63447,                0.86439,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     90,                0.95184,                0.50481,                0.77267,                0.98624,                      1,                  0.995,                0.66336,                 1.3379,                0.64162,                0.86549,             5.6596e-05,             5.6596e-05,             5.6596e-05
                     91,                  1.041,                0.51779,                  0.788,                0.97665,                      1,                  0.995,                0.66211,                 1.3329,                0.65736,                0.86911,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     92,                0.97102,                 0.4997,                0.81622,                0.98654,                      1,                  0.995,                0.60165,                 1.3633,                0.65332,                0.86502,             4.7172e-05,             4.7172e-05,             4.7172e-05
                     93,                  0.934,                0.50041,                0.81312,                0.98718,                      1,                  0.995,                0.60244,                 1.3193,                 0.6386,                0.86744,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     94,                0.95983,                0.53062,                0.77076,                0.98638,                      1,                  0.995,                0.64413,                  1.302,                0.64976,                0.86792,             3.7747e-05,             3.7747e-05,             3.7747e-05
                     95,                0.97518,                0.51982,                 0.7888,                0.98728,                      1,                  0.995,                0.63736,                 1.3437,                0.62613,                0.86977,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     96,                0.91975,                0.51063,                 0.7913,                0.98797,                      1,                  0.995,                0.61906,                 1.3272,                0.60528,                0.86691,             2.8322e-05,             2.8322e-05,             2.8322e-05
                     97,                0.93658,                0.50769,                0.79675,                0.98887,                      1,                  0.995,                0.58054,                 1.3585,                0.58264,                0.86731,              2.361e-05,              2.361e-05,              2.361e-05
                     98,                0.97943,                0.51516,                0.81724,                0.98897,                      1,                  0.995,                0.58127,                 1.3417,                0.57383,                0.86532,             1.8897e-05,             1.8897e-05,             1.8897e-05
